DO,pH,Conductivity,Turbidity,Ammonia-N,Hardness,Sulphate,TDS,Date,WQI
4.6,7.95,1342.0,16.0,0.4,340.0,98.0,872.0,2020-01-01,161.94885714285715
4.6,7.28,1472.0,26.0,0.4,390.0,98.0,962.0,2020-01-01,187.216
4.6,7.98,1360.0,22.0,0.4,420.0,86.0,884.0,2020-01-01,174.83866666666668
6.9,7.53,451.0,13.0,0.4,135.8,8.0,252.0,2020-01-01,92.23885714285714
5.8,7.86,248.0,8.0,0.4,90.0,10.0,156.0,2020-01-01,68.83942857142857
5.8,8.08,292.0,6.0,0.4,105.0,12.0,190.0,2020-01-01,69.68380952380954
5.8,7.72,394.0,10.0,0.4,160.0,16.0,244.0,2020-01-01,83.54342857142858
4.4,7.66,475.0,8.0,0.4,160.0,26.0,308.0,2020-01-01,82.5544761904762
4.6,7.15,1060.0,26.0,0.4,245.0,68.0,680.0,2020-01-01,153.4090476190476
4.6,7.1,3952.0,22.0,0.4,645.0,216.0,2586.0,2020-01-01,355.5518095238096
4.6,7.51,5610.0,28.0,0.4,785.0,421.0,3540.0,2020-01-01,481.77142857142866
2.0,7.19,1320.0,12.0,0.4,325.0,86.0,840.0,2020-01-01,143.61857142857144
2.2,7.18,1260.0,16.0,0.4,320.0,84.0,805.0,2020-01-01,146.62285714285716
4.6,7.48,1096.0,12.0,0.4,280.0,60.0,668.0,2020-01-01,132.91828571428573
6.2,7.4,1772.0,17.0,0.4,408.9,24.0,1024.0,2020-01-01,187.44390476190478
6.4,7.36,389.0,21.0,0.4,144.04,16.0,220.0,2020-01-01,100.42704761904764
6.3,7.21,813.0,16.0,0.4,281.33,17.0,417.0,2020-01-01,120.12366666666665
4.6,7.74,1562.0,26.0,0.4,415.0,118.0,986.0,2020-01-01,193.9241904761905
4.5,7.32,5500.0,34.0,0.4,655.8,57.0,3140.0,2020-01-01,445.41619047619054
6.1,7.35,1314.0,28.0,0.4,364.22,19.0,673.0,2020-01-01,170.828
6.0,7.41,1372.0,19.0,0.4,342.75,21.0,780.0,2020-01-01,162.69261904761908
6.2,7.46,1843.0,13.0,0.4,509.49,24.0,1050.0,2020-01-01,188.10585714285713
5.7,7.18,2420.0,16.0,0.4,509.75,30.0,1360.0,2020-01-01,225.4711904761905
2.4,7.97,820.0,20.0,0.4,295.0,38.0,498.0,2020-01-01,122.29495238095241
4.6,6.91,980.0,16.0,0.4,260.0,52.0,620.0,2020-01-01,131.18523809523813
4.6,7.66,2021.0,19.0,0.4,520.0,122.0,1276.0,2020-01-01,215.51847619047618
4.6,7.76,1198.0,22.0,0.4,315.0,86.0,766.0,2020-01-01,159.92895238095238
4.6,7.48,1096.0,12.0,0.4,280.0,60.0,668.0,2020-01-01,132.91828571428573
4.6,7.48,1096.0,12.0,0.4,280.0,60.0,668.0,2020-01-01,132.91828571428573
4.6,7.48,1096.0,12.0,0.4,280.0,60.0,668.0,2020-01-01,132.91828571428573
0.8,7.97,829.0,20.0,0.4,260.0,64.0,520.0,2020-01-01,119.2509523809524
6.0,7.36,136.0,8.0,0.4,40.0,10.0,88.0,2020-01-01,59.95638095238095
5.8,8.21,280.0,8.0,0.4,105.0,8.0,174.0,2020-01-01,71.72009523809525
4.6,7.48,1096.0,12.0,0.4,280.0,60.0,668.0,2020-01-01,132.91828571428573
4.6,7.48,1096.0,12.0,0.4,280.0,60.0,668.0,2020-01-01,132.91828571428573
1.0,8.16,1389.0,34.0,0.4,360.0,53.0,770.0,2020-01-01,175.96619047619046
4.6,7.17,1384.0,28.0,0.4,385.0,86.0,902.0,2020-01-01,183.66314285714287
4.6,7.74,1347.0,20.0,0.4,410.0,84.0,872.0,2020-01-01,169.81885714285715
4.6,7.19,1393.0,20.0,0.4,435.0,86.0,868.0,2020-01-01,171.2292380952381
4.6,7.32,1502.0,35.0,0.4,360.0,109.0,990.0,2020-01-01,203.57285714285717
4.6,7.28,1479.0,20.0,0.4,355.0,116.0,896.0,2020-01-01,174.4146666666667
4.6,7.06,1642.0,21.0,0.4,435.0,102.0,1074.0,2020-01-01,191.6129523809524
4.6,7.48,1096.0,12.0,0.4,280.0,60.0,668.0,2020-01-01,132.91828571428573
4.6,7.14,1093.0,18.0,0.4,285.0,82.0,714.0,2020-01-01,145.35866666666666
4.6,7.48,1096.0,12.0,0.4,280.0,60.0,668.0,2020-01-01,132.91828571428573
4.6,7.88,1420.0,14.0,0.4,385.0,98.0,920.0,2020-01-01,165.04285714285714
4.6,7.55,2496.0,12.0,0.4,660.0,152.0,1620.0,2020-01-01,242.65761904761908
4.6,7.55,1480.0,16.0,0.4,385.0,132.0,980.0,2020-01-01,174.30428571428573
4.6,7.48,1096.0,12.0,0.4,280.0,60.0,668.0,2020-01-01,132.91828571428573
4.6,7.48,1096.0,12.0,0.4,280.0,60.0,668.0,2020-01-01,132.91828571428573
7.1,7.24,1530.0,11.0,0.4,347.48,18.0,848.0,2020-01-01,161.2804761904762
4.6,7.12,1510.0,22.0,0.4,420.0,126.0,955.0,2020-01-01,183.89523809523808
4.6,7.8,1820.0,22.0,0.4,440.0,122.0,1182.0,2020-01-01,206.65980952380954
4.6,7.48,1096.0,12.0,0.4,280.0,60.0,668.0,2020-01-01,132.91828571428573
